Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000282344,USP12-201,3233.904,3133,157,100.904,0.031201915703125385,more_unique,Concordant,HISAT2
ENST00000380752,SLC7A1-201,12572.314,11523,1264,1049.3140000000003,0.08346228069073046,more_unique,Concordant,HISAT2
ENST00000380071,RFC3-201,4367.34,2505,2109,1862.3400000000001,0.42642432235640004,more_unique,Concordant,HISAT2
ENST00000381482,STK35-201,7572.779,6195,1518,1377.7790000000005,0.1819383610692984,more_unique,Concordant,HISAT2
ENST00000381077,PUDP-201,1584.547,620,1019,964.547,0.6087209782985294,more_multi,Concordant,HISAT2
ENST00000379143,PCNA-201,16374.204,979,15736,15395.204,0.9402108340655827,more_multi,Concordant,HISAT2
ENST00000342192,UBE2L3-201,10774.528,947,10337,9827.528,0.9121075187701958,more_multi,Concordant,HISAT2
ENST00000290349,CBR1-201,2386.445,355,2155,2031.4450000000002,0.85124316713773,more_multi,Concordant,HISAT2
ENST00000276914,PLIN2-201,1556.104,1109,475,447.10400000000004,0.28732269822582557,more_unique,Concordant,HISAT2
ENST00000359039,KLHL9-201,3505.281,3461,87,44.28099999999995,0.012632653416373736,more_unique,Concordant,HISAT2
ENST00000379847,NDUFB6-203,1529.389,940,841,589.3889999999999,0.3853754669348347,more_unique,Concordant,HISAT2
ENST00000282003,OBI1-201,2404.227,2372,62,32.22699999999986,0.013404308328622824,more_unique,Concordant,HISAT2
ENST00000256496,ARL8B-201,7966.918,2830,5290,5136.918,0.6447810809650607,more_multi,Concordant,HISAT2
ENST00000309311,EEF2-201,119820.858,86536,41881,33284.85799999999,0.2777885132486699,more_unique,Concordant,HISAT2
ENST00000375370,TFDP1-201,8678.561,2958,6688,5720.561,0.6591600842582083,more_multi,Concordant,HISAT2
ENST00000308683,ZNF622-201,3483.248,3418,117,65.24800000000005,0.018731942141357736,more_unique,Concordant,HISAT2
