Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000282344,USP12-201,3242.683,2703,579,539.683,0.1664310079030235,more_unique,Concordant,Salmon
ENST00000380752,SLC7A1-201,12456.394,11256,1405,1200.3940000000002,0.09636769678287313,more_unique,Concordant,Salmon
ENST00000380071,RFC3-201,4334.145,2439,2150,1895.1450000000004,0.43725925182475445,more_unique,Concordant,Salmon
ENST00000381482,STK35-201,7567.584,6084,1591,1483.5839999999998,0.1960446028745766,more_unique,Concordant,Salmon
ENST00000381077,PUDP-201,1587.805,594,1057,993.8050000000001,0.6258986462443437,more_multi,Concordant,Salmon
ENST00000379143,PCNA-201,16244.277,137,16430,16107.277,0.9915662605359413,more_multi,Concordant,Salmon
ENST00000342192,UBE2L3-201,10886.067,9,11231,10877.067,0.9991732551342923,more_multi,Concordant,Salmon
ENST00000290349,CBR1-201,2457.326,230,2353,2227.326,0.9064023251290224,more_multi,Concordant,Salmon
ENST00000276914,PLIN2-201,1567.97,1046,553,521.97,0.33289539978443466,more_unique,Concordant,Salmon
ENST00000359039,KLHL9-201,3472.438,3438,83,34.4380000000001,0.009917527685159562,more_unique,Concordant,Salmon
ENST00000379847,NDUFB6-203,1538.803,676,1121,862.8030000000001,0.5606975031891672,more_multi,Concordant,Salmon
ENST00000282003,OBI1-201,2408.109,2389,42,19.108999999999924,0.007935272032951966,more_unique,Concordant,Salmon
ENST00000256496,ARL8B-201,7937.588,2684,5457,5253.588,0.6618620165218956,more_multi,Concordant,Salmon
ENST00000309311,EEF2-201,122070.418,78618,49558,43452.418000000005,0.3559619006137916,more_unique,Concordant,Salmon
ENST00000375370,TFDP1-201,8958.422,2603,7302,6355.4220000000005,0.7094354340530062,more_multi,Concordant,Salmon
ENST00000308683,ZNF622-201,3448.509,3391,115,57.509000000000015,0.016676482503017974,more_unique,Concordant,Salmon
ENST00000261537,MIB1-201,19261.219,12838,8979,6423.219000000001,0.33347936078189033,more_unique,Concordant,Salmon
ENST00000376327,PLP2-202,5713.116,3923,1884,1790.116,0.3133344395597779,more_unique,Concordant,Salmon
ENST00000373233,CHD6-202,12511.025,7431,5751,5080.025,0.406043869307271,more_unique,Concordant,Salmon
ENST00000265069,ZFR-201,18236.326,7072,12110,11164.326000000001,0.6122025894908876,more_multi,Concordant,Salmon
ENST00000221200,KCTD9-201,3360.42,1409,2143,1951.42,0.5807071735080734,more_multi,Concordant,Salmon
ENST00000040738,BOD1L1-201,13517.961,10708,3245,2809.9609999999993,0.20786870150017442,more_unique,Concordant,Salmon
ENST00000378536,SKI-201,8453.077,7839,842,614.0769999999993,0.07264538108430804,more_unique,Concordant,Salmon
ENST00000328024,RAB11B-201,3675.044,2527,1345,1148.0439999999999,0.312389185000234,more_unique,Concordant,Salmon
ENST00000216129,TTLL12-201,5298.223,2492,2931,2806.223,0.5296536216010538,more_multi,Concordant,Salmon
ENST00000618046,SLC4A1AP-206,3878.072,0,4311,3878.072,1,all_ambig_reads,Concordant,Salmon
ENST00000296684,NDUFS4-201,3192.75,8,3417,3184.75,0.9974943230757184,more_multi,Concordant,Salmon
ENST00000475243,VAPB-204,5380.902,2773,8145,2607.902,0.48465889176201316,more_unique,Concordant,Salmon
ENST00000358432,EPHA2-201,15162.169,9700,5824,5462.169,0.36024984288197814,more_unique,Concordant,Salmon
ENST00000355937,PRELID3B-201,9648.504,4971,7029,4677.504000000001,0.48479059551615467,more_unique,Concordant,Salmon
ENST00000235835,AKR7A2-201,1851.042,334,1563,1517.042,0.8195610904560783,more_multi,Concordant,Salmon
ENST00000210313,PSMD5-201,5327.917,2966,2554,2361.9170000000004,0.44330964615252083,more_unique,Concordant,Salmon
ENST00000296755,MAP1B-201,50538.806,41006,10691,9532.805999999997,0.18862349063015058,more_unique,Concordant,Salmon
ENST00000395686,ERO1A-201,7007.875,3934,4908,3073.875,0.4386315395180422,more_unique,Concordant,Salmon
ENST00000276569,ARMC1-201,7169.489,142,7183,7027.489,0.9801938464512603,more_multi,Concordant,Salmon
ENST00000251047,LMAN1-201,25977.871,18653,7784,7324.870999999999,0.2819657931167646,more_unique,Concordant,Salmon
ENST00000262215,ARFGEF1-201,10502.191,2462,8290,8040.191000000001,0.7655727266815087,more_multi,Concordant,Salmon
ENST00000307407,CXCL8-201,3779.432,2761,1115,1018.4319999999998,0.2694669463559603,more_unique,Concordant,Salmon
ENST00000247655,COX7C-201,5241.462,516,5652,4725.462,0.9015541846912178,more_multi,Concordant,Salmon
ENST00000303714,ANTXR1-201,11544.832,9015,5601,2529.8320000000003,0.21913112291283235,more_unique,Concordant,Salmon
ENST00000218364,HTATSF1-201,5207.609,8,5417,5199.609,0.9984637863556961,more_multi,Concordant,Salmon
ENST00000334512,ZMIZ1-201,5565.181,3611,2077,1954.1809999999996,0.3511441945913349,more_unique,Concordant,Salmon
ENST00000182527,TRAM2-201,19368.254,19149,486,219.25400000000081,0.011320276985215125,more_unique,Concordant,Salmon
ENST00000309971,GLE1-201,3002.657,1412,1646,1590.6570000000002,0.5297498182443083,more_multi,Concordant,Salmon
