Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000378536,SKI-201,7810.02,7623,209,187.02000000000044,0.02394616146949693,more_unique,Concordant,STAR
ENST00000358432,EPHA2-201,13908.368,9902,4090,4006.3680000000004,0.2880545007149653,more_unique,Concordant,STAR
ENST00000235835,AKR7A2-201,1700.481,528,1181,1172.481,0.6894996180492461,more_multi,Concordant,STAR
ENST00000373703,PEF1-201,1471.427,717,764,754.4269999999999,0.5127179262036105,more_multi,Concordant,STAR
ENST00000357214,SFPQ-201,24194.785,19874,7500,4320.785,0.1785833186779713,more_unique,Concordant,STAR
ENST00000372396,KDM4A-201,3976.537,2351,1734,1625.5369999999998,0.40878206338832,more_unique,Concordant,STAR
ENST00000360840,MRPL37-202,7297.13,12,7395,7285.13,0.9983555178542797,more_multi,Concordant,STAR
ENST00000370768,FUBP1-203,3072.783,1285,6404,1787.783,0.5818123180192027,more_multi,Concordant,STAR
ENST00000370272,DR1-202,5379.635,4594,2993,785.6350000000002,0.14603871824017803,more_unique,Concordant,STAR
ENST00000256646,NOTCH2-201,31850.841,24344,8006,7506.841,0.23568737164585388,more_unique,Concordant,STAR
ENST00000368192,ETV3-202,2595.074,2384,246,211.07400000000007,0.0813364089039465,more_unique,Concordant,STAR
ENST00000290551,BTG2-201,1082.17,803,280,279.1700000000001,0.25797240729275445,more_unique,Concordant,STAR
ENST00000367157,NUAK2-201,2375,2375,0,0,0,all_unique_reads,Concordant,STAR
ENST00000366812,ACBD3-201,4476.016,4367,117,109.01599999999962,0.02435558764758652,more_unique,Concordant,STAR
ENST00000334512,ZMIZ1-201,5129.196,3543,1598,1586.196,0.30924846701120406,more_unique,Concordant,STAR
ENST00000298767,WAPL-201,12271.307,6873,5924,5398.307000000001,0.439912961186612,more_unique,Concordant,STAR
ENST00000324109,DNMBP-201,9275.397,4068,5580,5207.397000000001,0.5614203898765735,more_multi,Concordant,STAR
ENST00000263847,OSBP-201,6437.207,5378,1068,1059.2070000000003,0.16454449887971603,more_unique,Concordant,STAR
ENST00000227520,CCDC86-201,6725.917,1709,5042,5016.917,0.7459082531051157,more_multi,Concordant,STAR
ENST00000398136,TMEM123-202,23701.91,969,25779,22732.91,0.9591172188232931,more_multi,Concordant,STAR
ENST00000301067,KMT2D-201,21621.613,20050,2199,1571.6130000000012,0.07268713023399323,more_unique,Concordant,STAR
ENST00000301180,DIP2B-201,6802.027,3520,3327,3282.027,0.48250719969209177,more_unique,Concordant,STAR
ENST00000267116,ANKRD52-201,18379.955,15826,2623,2553.9550000000017,0.13895327817723174,more_unique,Concordant,STAR
ENST00000262030,ATP5F1B-201,35644.972,2205,33799,33439.972,0.938139942991118,more_multi,Concordant,STAR
ENST00000403681,HMGA2-204,5029.206,4528,533,501.20600000000013,0.09965907143195171,more_unique,Concordant,STAR
ENST00000545606,CAND1-208,9900.325,4178,16762,5722.325000000001,0.5779936517235545,more_multi,Concordant,STAR
ENST00000261402,NUAK1-201,2111.348,1888,238,223.34799999999996,0.1057845509124976,more_unique,Concordant,STAR
ENST00000282344,USP12-201,2969.634,2924,47,45.634000000000015,0.015366876860919566,more_unique,Concordant,STAR
ENST00000380752,SLC7A1-201,11568,10801,767,767,0.06630359612724758,more_unique,Concordant,STAR
ENST00000380071,RFC3-201,4069.941,2411,1794,1658.9409999999998,0.40760812011771175,more_unique,Concordant,STAR
ENST00000282003,OBI1-201,2244,2244,0,0,0,all_unique_reads,Concordant,STAR
ENST00000375370,TFDP1-201,8156.875,2798,5917,5358.875,0.656976476898322,more_multi,Concordant,STAR
ENST00000395686,ERO1A-201,6508.356,4047,3952,2461.3559999999998,0.3781839837894546,more_unique,Concordant,STAR
ENST00000316836,PNMA1-201,4810,4810,0,0,0,all_unique_reads,Concordant,STAR
ENST00000553612,GTF2A1-203,5252.425,4267,1581,985.4250000000002,0.18761334050462408,more_unique,Concordant,STAR
ENST00000262238,YY1-201,7026.768,5280,4305,1746.768,0.24858768640148643,more_unique,Concordant,STAR
ENST00000306726,PTPN9-201,5164.933,0,5497,5164.933,1,all_ambig_reads,Concordant,STAR
ENST00000258198,DYNC1LI2-201,7427.188,4742,2874,2685.188,0.36153494431539906,more_unique,Concordant,STAR
ENST00000264645,CASC3-201,12082.127,1500,11120,10582.127,0.8758496744819848,more_multi,Concordant,STAR
ENST00000360943,UBE2Z-201,8269.031,323,8292,7946.031000000001,0.9609385912327575,more_multi,Concordant,STAR
ENST00000225298,UTP18-201,6647.747,4214,2445,2433.7470000000003,0.3661010264078943,more_unique,Concordant,STAR
ENST00000316881,TRIM25-201,8150.458,4435,4483,3715.4579999999996,0.4558587995913849,more_unique,Concordant,STAR
ENST00000397786,MED13-201,16516.383,14673,2828,1843.3830000000016,0.11160936386616861,more_unique,Concordant,STAR
ENST00000245479,SOX9-201,5059,5059,0,0,0,all_unique_reads,Concordant,STAR
ENST00000321617,CASKIN2-201,2356.214,504,1946,1852.214,0.7860975276439237,more_multi,Concordant,STAR
ENST00000261537,MIB1-201,17690.597,12346,7263,5344.597000000002,0.30211512929721934,more_unique,Concordant,STAR
ENST00000251047,LMAN1-201,24052.729,18738,5490,5314.728999999999,0.22096157986896203,more_unique,Concordant,STAR
ENST00000309311,EEF2-201,110036.38,80679,34941,29357.380000000005,0.2667970356712935,more_unique,Concordant,STAR
ENST00000328024,RAB11B-201,3419.371,2512,1024,907.3710000000001,0.2653619627703458,more_unique,Concordant,STAR
ENST00000360535,CLIP3-201,1637.744,984,660,653.7439999999999,0.39917349720102774,more_unique,Concordant,STAR
ENST00000085079,EPN1-201,4662.502,138,5048,4524.502,0.9704021574682434,more_multi,Concordant,STAR
ENST00000618046,SLC4A1AP-206,3560.809,0,3888,3560.809,1,all_ambig_reads,Concordant,STAR
ENST00000303714,ANTXR1-201,10853.035,8741,4263,2112.035,0.19460316860675378,more_unique,Concordant,STAR
ENST00000283195,RANBP2-201,28733.652,25662,4767,3071.651999999998,0.1069008561807597,more_unique,Concordant,STAR
ENST00000264380,PIKFYVE-201,5972.956,3572,3006,2400.956,0.4019711513026381,more_unique,Concordant,STAR
ENST00000233055,WDFY1-201,8148.597,6262,1922,1886.5969999999998,0.23152415072189725,more_unique,Concordant,STAR
ENST00000381482,STK35-201,7157.022,5897,1262,1260.022,0.17605395093098777,more_unique,Concordant,STAR
ENST00000379143,PCNA-201,15053.807,861,14330,14192.807,0.942805165497339,more_multi,Concordant,STAR
ENST00000373233,CHD6-202,11493.394,7466,4509,4027.3940000000002,0.35040946129576694,more_unique,Concordant,STAR
ENST00000475243,VAPB-204,5025.5,2910,7201,2115.5,0.42095313899114517,more_unique,Concordant,STAR
ENST00000355937,PRELID3B-201,8972.483,6050,4757,2922.483,0.3257161924965475,more_unique,Concordant,STAR
ENST00000290349,CBR1-201,2260.846,298,2050,1962.846,0.8681909338362719,more_multi,Concordant,STAR
ENST00000342192,UBE2L3-201,10121.104,893,9411,9228.104,0.9117685185331561,more_multi,Concordant,STAR
ENST00000216129,TTLL12-201,4827.305,2339,2543,2488.3050000000003,0.5154646329577269,more_multi,Concordant,STAR
ENST00000256496,ARL8B-201,7240.741,2640,4711,4600.741,0.6353964324921993,more_multi,Concordant,STAR
ENST00000273258,ARL6IP5-201,2885.928,1221,1669,1664.9279999999999,0.5769125217261137,more_multi,Concordant,STAR
ENST00000311127,HEG1-201,20182.688,7725,16590,12457.687999999998,0.6172462260725627,more_multi,Concordant,STAR
ENST00000460933,RYK-201,4195.881,0,5308,4195.881,1,all_ambig_reads,Concordant,STAR
ENST00000040738,BOD1L1-201,12697.527,10508,2421,2189.527,0.1724372785346312,more_unique,Concordant,STAR
ENST00000307407,CXCL8-201,3446.069,2831,727,615.069,0.17848423812755926,more_unique,Concordant,STAR
ENST00000511685,TENM3-204,3561.615,2327,2019,1234.6149999999998,0.3466447103350586,more_unique,Concordant,STAR
ENST00000308683,ZNF622-201,3218,3218,0,0,0,all_unique_reads,Concordant,STAR
ENST00000265069,ZFR-201,16687.759,7062,10283,9625.758999999998,0.5768155568401964,more_multi,Concordant,STAR
ENST00000296684,NDUFS4-201,2991.007,182,2950,2809.007,0.9391509280987975,more_multi,Concordant,STAR
